dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar10,alexnet,0.7,0.4,100,56.2,56.89
cifar10,alexnet,0.7,0.5,100,51.52,52.55
cifar10,alexnet,0.7,0.6,100,49.29,49.96
cifar10,alexnet,0.7,0.7,100,47.95,48.49
cifar10,alexnet,0.7,0.9,100,42.56,43.43
cifar10,alexnet,0.7,1,100,40.75,41.26
cifar10,alexnet,0.9,0.4,100,55.02,55.85
cifar10,alexnet,0.9,0.5,100,50.66,51.22
cifar10,alexnet,0.9,0.6,100,47.22,48.08
cifar10,alexnet,0.9,0.7,100,43.94,44.65
cifar10,alexnet,0.9,0.9,100,37.53,37.63
cifar10,alexnet,0.9,1,100,32.93,33.47
cifar10,alexnet,1,0.4,100,54.99,55.54
cifar10,alexnet,1,0.5,100,49.29,49.95
cifar10,alexnet,1,0.6,100,44.54,44.94
cifar10,alexnet,1,0.7,100,40.49,40.71
cifar10,alexnet,1,0.9,100,32.7,33.23
cifar10,alexnet,1,1,100,29.71,30.12
cifar10,vgg16_bn,0.4,0.4,100,82.66,83.37
cifar10,vgg16_bn,0.4,0.5,100,81.62,82.28
cifar10,vgg16_bn,0.4,0.6,100,80.42,81.56
cifar10,vgg16_bn,0.4,0.7,100,80.19,81.13
cifar10,vgg16_bn,0.4,0.9,100,80.1,81.05
cifar10,vgg16_bn,0.4,1,100,80.07,80.78
cifar10,vgg16_bn,0.5,0.4,100,82.91,83.2
cifar10,vgg16_bn,0.5,0.5,100,81.95,82.22
cifar10,vgg16_bn,0.5,0.6,100,80.89,81.79
cifar10,vgg16_bn,0.5,0.7,100,80.44,81.26
cifar10,vgg16_bn,0.5,0.9,100,61.08,62.21
cifar10,vgg16_bn,0.5,1,100,58.52,59.24
cifar10,vgg16_bn,0.6,0.4,100,75.23,76.04
cifar10,vgg16_bn,0.6,0.5,100,65.26,65.69
cifar10,vgg16_bn,0.6,0.6,100,64.15,64.35
cifar10,vgg16_bn,0.6,0.7,100,55.16,55.58
cifar10,vgg16_bn,0.6,0.9,100,52.03,52.53
cifar10,vgg16_bn,0.6,1,100,50.8,51.42
cifar10,vgg16_bn,0.7,0.4,100,69.28,69.43
cifar10,vgg16_bn,0.7,0.5,100,57.99,58.51
cifar10,vgg16_bn,0.7,0.6,100,51.3,51.77
cifar10,vgg16_bn,0.7,0.7,100,51.08,51.49
cifar10,vgg16_bn,0.7,0.9,100,49.77,50.36
cifar10,vgg16_bn,0.7,1,100,50.29,50.71
cifar10,vgg16_bn,0.9,0.4,100,57.06,57.29
cifar10,vgg16_bn,0.9,0.5,100,52.11,52.32
cifar10,vgg16_bn,0.9,0.6,100,49.11,50.16
cifar10,vgg16_bn,0.9,0.7,100,50.28,50.56
cifar10,vgg16_bn,0.9,0.9,100,49.94,50.4
cifar10,vgg16_bn,0.9,1,100,49.19,49.55
cifar10,vgg16_bn,1,0.4,100,57.08,57.42
cifar10,vgg16_bn,1,0.5,100,51.27,51.39
cifar10,vgg16_bn,1,0.6,100,50.92,51.1
cifar10,vgg16_bn,1,0.7,100,49.55,49.55
cifar10,vgg16_bn,1,0.9,100,49.01,49.62
cifar10,vgg16_bn,1,1,100,48.62,48.79
cifar100,alexnet,0.4,0.4,100,22.92,23.11
cifar100,alexnet,0.4,0.5,100,21.31,22.05
cifar100,alexnet,0.4,0.6,100,20.14,20.51
cifar100,alexnet,0.4,0.7,100,18.67,19.31
cifar100,alexnet,0.4,0.9,100,14.48,14.78
cifar100,alexnet,0.4,1,100,12.5,12.73
cifar100,alexnet,0.5,0.4,100,20.0,20.99
cifar100,alexnet,0.5,0.5,100,19.18,19.53
cifar100,alexnet,0.5,0.6,100,16.95,17.51
cifar100,alexnet,0.5,0.7,100,15.33,15.65
cifar100,alexnet,0.5,0.9,100,10.64,10.83
cifar100,alexnet,0.5,1,100,8.11,8.23
cifar100,alexnet,0.6,0.4,100,20.1,21.08
cifar100,alexnet,0.6,0.5,100,19.19,19.48
cifar100,alexnet,0.6,0.6,100,16.98,17.52
cifar100,alexnet,0.6,0.7,100,15.35,15.65
cifar100,alexnet,0.6,0.9,100,10.63,10.8
cifar100,alexnet,0.6,1,100,8.06,8.24
cifar100,alexnet,0.7,0.4,100,19.98,20.84
cifar100,alexnet,0.7,0.5,100,18.96,19.37
cifar100,alexnet,0.7,0.6,100,16.75,17.25
cifar100,alexnet,0.7,0.7,100,15.08,15.08
cifar100,alexnet,0.7,0.9,100,7.28,7.28
cifar100,alexnet,0.7,1,100,2.51,2.79
cifar100,alexnet,0.9,0.4,100,18.89,19.38
cifar100,alexnet,0.9,0.5,100,16.81,17.53
cifar100,alexnet,0.9,0.6,100,12.85,13.07
cifar100,alexnet,0.9,0.7,100,10.24,10.35
cifar100,alexnet,0.9,0.9,100,4.49,4.5
cifar100,alexnet,0.9,1,100,1.79,1.84
cifar100,alexnet,1,0.4,100,19.43,20.25
cifar100,alexnet,1,0.5,100,17.52,18.12
cifar100,alexnet,1,0.6,100,15.23,15.7
cifar100,alexnet,1,0.7,100,12.14,12.29
cifar100,alexnet,1,0.9,100,5.01,5.08
cifar100,alexnet,1,1,100,1.0,1.0
cifar100,vgg16_bn,0.4,0.4,100,67.9,68.63
cifar100,vgg16_bn,0.4,0.5,100,67.85,68.55
cifar100,vgg16_bn,0.4,0.6,100,67.83,68.56
cifar100,vgg16_bn,0.4,0.7,100,67.81,68.6
cifar100,vgg16_bn,0.4,0.9,100,67.85,68.47
cifar100,vgg16_bn,0.4,1,100,67.87,68.56
